asset_id,lane,source_url,destination,state,approval_owner,proof,metric,next_action,blocker,last_verified
owned-home,owned_site,https://airexpressutah.com,canonical website,measured_public,James/New Reward,"HTTP 200",homepage availability,keep as source of truth,none,2026-06-01
legacy-redirect,owned_site,https://airexpresshvac.net,https://airexpressutah.com/,measured_public,James/New Reward,"HTTP 308 to canonical",redirect continuity,monitor during weekly checks,none,2026-06-01
admin-cms,owned_site,https://airexpressutah.com/admin/,Decap CMS,blocked,James/New Reward,"/admin 200 and /api/auth 500",editor login success,repair OAuth env vars after approval,Vercel OAuth env var missing,2026-06-01
google-review-link,review,https://g.page/r/CYZKv5H3bwNzEBM/review,Google write review flow,prepared,Air Express owner,"Google redirect resolved",review volume and rating,verify GBP ownership before review campaign,owner access required,2026-06-01
facebook-page,direct_social,https://www.facebook.com/airexpresshvac/,Facebook,prepared,Air Express owner,"HTTP 200",referral traffic and messages,request admin access,no public post approval,2026-06-01
servicetitan-lead-proof,crm,local output guide,ServiceTitan Follow Up Leads,blocked,Air Express owner,"prior lead IDs from 2026-04-24",accepted leads,request current screenshot and approved test,no CRM mutation approval,2026-04-24
mapquest-utah,local_directory,https://www.mapquest.com/us/utah/air-express-heating-and-air-conditioning-286187347,MapQuest,prepared,Air Express owner,"public profile exists",directions and calls,verify control and phone accuracy,claim or Yext gate,2026-06-01
angi-profile,local_directory,https://www.angi.com/companylist/us/ut/lehi/air-express-heating-and-air-conditioning-inc-reviews-3641163.htm,Angi,prepared_monitor,Air Express owner,"public profile exists",profile rating and leads,monitor and prepare response/repair strategy,platform access gate,2026-06-01
contractorsup-profile,local_directory,https://www.contractorsup.com/87980,ContractorsUp,planned,Air Express owner,"public profile exists",citation accuracy,verify NAP and control path,access unknown,2026-06-01
cylex-profile,local_directory,https://www.cylex.us.com/company/air-express-heating-and-air-conditioning-5877278.html,Cylex,planned,Air Express owner,"public profile exists",citation accuracy,verify NAP and control path,access unknown,2026-06-01
manta-profile,local_directory,https://manta-router.p.manta.com/c/mm5fv19/air-express-heating-air-conditioning-inc,Manta,planned,Air Express owner,"public profile exists",citation accuracy,verify NAP and control path,access unknown,2026-06-01
apple-business-connect,maps,https://businessconnect.apple.com/,Apple Maps,planned,Air Express owner,"official flow only",Apple Maps actions,search existing place first,owner verification gate,not_attempted
bing-places,maps,https://www.bingplaces.com/,Bing Maps,planned,Air Express owner,"official flow only",Bing Maps actions,search existing listing first,Microsoft verification gate,not_attempted
nextdoor-business,business_social,https://business.nextdoor.com/local,Nextdoor,planned,Air Express owner,"official flow only",recommendations and referrals,search existing page first,owner document gate,not_attempted
bbb-profile,trust_directory,unknown,BBB,prepared_monitor,Air Express owner,"BBB public profile exists; data/public-claim-register.json confirms local copy says BBB Business Profile instead of accreditation",trust proof,do not claim accreditation unless BBB status changes; verify profile access only if needed,owner verification gate,2026-06-03
lehi-license,accreditation,https://www.lehi-ut.gov/,Lehi business license proof,prepared,Air Express owner,"public business list result",trust proof,confirm latest license record,official recency,2026-06-01
blog-first-hot-week,content,local:content/blog/first-hot-week-ac-checklist-utah.md,Website blog plus Facebook GBP email excerpt,ready_in_source_pending_delivery,James/New Reward plus Air Express owner,"local markdown and generated blog HTML exist",GSC page clicks GA4 landing sessions generate_lead ServiceTitan campaign rows,approve Air Express deploy or New Reward edge sync before claiming live,production delivery path and channel access not approved,2026-06-03
blog-wildfire-smoke,content,local:content/blog/wildfire-smoke-hvac-filter-utah.md,Website blog plus GBP Facebook excerpt,review_draft,James/New Reward plus Max,"local markdown draft exists with proof gates",GSC smoke and filter queries GA4 engagement IAQ leads,review and approve content then deploy or edge sync,Max/New Reward content approval and production delivery required,2026-06-03
blog-thermostat-heat-wave,content,local:content/blog/thermostat-settings-utah-heat-wave.md,Website blog plus social email excerpt,review_draft,James/New Reward plus Max,"local markdown draft exists with proof gates",GSC thermostat heat-wave queries GA4 engagement generate_lead,review and approve content then deploy or edge sync,Max/New Reward content approval and production delivery required,2026-06-03
max-social-access,direct_social,local:docs/max-social-access-request-draft.md,Facebook and Google Business Profile access request,draft_only,James/New Reward plus Max,"draft request prepared; no send",channel access and post scheduling readiness,confirm Max recipient and approved sender then send or create draft,no external send approval recorded,2026-06-03
max-case-study-proof,proof_content,local:docs/max-case-study-outreach-draft.md,case study source proof request,draft_only,James/New Reward plus Max,"draft request prepared; no send",approved proof assets and source notes,confirm Max recipient and approved sender then send or create draft,no external send approval recorded,2026-06-03
air-express-access-packet,access_request,local:docs/air-express-access-request-packet.md,"GSC GA4 GBP GTM ServiceTitan delivery social and case-study access request",draft_only,James/New Reward plus Max,"consolidated access packet prepared; no send",blocker clearance readiness,confirm recipient sender and send/draft approval before external communication,no external send approval recorded,2026-06-03
air-express-google-reconnect-packet,access_request,local:docs/air-express-google-readonly-reconnect-packet.md,"GSC GA4 GBP read-only reconnect and history pull handoff",prepared_only,James/New Reward,"scopes identity stop gates and pass/fail criteria prepared; no OAuth consent",GSC GA4 GBP history pull readiness,run only after #26 mapping reconciliation and explicit active-thread approval,OAuth/MFA/recovery/wrong-account/provider-mutation gates,2026-06-03
