surface,class,priority,current_state,control_state,target_account_or_owner,evidence,next_action,blocker,risk,performance_signal,last_verified
Owned website airexpressutah.com,owned,P0,live HTTP 200,public_live_dashboard_unknown,James/New Reward,curl and verify-cutover,confirm provider ownership,none for public load,production site,homepage status and leads,2026-06-01
Legacy web domain airexpresshvac.net,owned,P0,redirects to canonical,public_live_dashboard_unknown,James/New Reward,curl and verify-cutover,preserve redirect and mail records,no DNS mutation approval,mail and redirect continuity,redirect status,2026-06-01
Repo CryptoJym air-express-hvac,owned,P0,local repo present,repo_access_inferred,James/New Reward,admin/config.yml,confirm collaborator/editor roles,GitHub access not dashboard verified,content publishing permissions,CMS edits and deploys,2026-06-01
Decap CMS admin,owned,P0,/admin loads,login_blocked,James/New Reward,curl /admin and /api/auth,repair OAuth env vars after approval,missing OAUTH_GITHUB_CLIENT_ID,CMS editing blocked,admin login success,2026-06-01
ServiceTitan intake,crm,P0,prior lead creation verified; historical email-notification fallback setup note found; current export/API access still absent,current_access_unknown,Air Express owner plus New Reward,output ServiceTitan guide; sanitized Gmail evidence from 2026-04-24 2026-04-29 and 2026-05-01,request current redacted lead export or screenshot packet,no CRM mutation or live test approval,lead routing and privacy,accepted leads and follow up visibility,2026-06-03
Vercel project option-c,hosting,P0,"Vercel project is linked locally and production deploy dpl_3zREVjP951aP1UvcJ8HwSYk668Li succeeded; www alias serves verified repo source, but canonical apex still serves New Reward edge/origin and /analytics.js is 404.",partial_live_www_only_canonical_pending,James/New Reward,".vercel/project.json; Vercel deploy output; data/air-express-ga4-delivery-sync-attempt.json; data/live-measurement-path-check.json","Use authenticated New Reward edge publish-and-verify for website cmorqbs9j001r5nr1h25vosp8 or approved Cloudflare route change; then rerun live measurement and delivery sync checks.",canonical apex remains intercepted by New Reward edge/origin despite Vercel alias success,env var deployment and repo-to-live traceability risk,domain OAuth and deployment health,2026-06-06
New Reward GitHub App,delivery,P0,New Reward website delivery says GitHub App NOT CONNECTED and owned-site content MANUAL_REQUIRED,delivery_blocked,James/New Reward,New Reward website delivery settings,connect/install only with explicit approval or record approved manual sync path,no GitHub App mutation approval,owned-site deployment automation blocked,package PR and sync status,2026-06-02
Cloudflare DNS and edge,dns,P0,"nameservers and New Reward edge are live on canonical apex; active edge/origin version v20260601032350-675731b8-57d4bf is serving website cmorqbs9j001r5nr1h25vosp8 and has not synced current GA4/AI artifacts.",edge_sync_required,James/New Reward,"dig NS; response headers; New Reward Air Express setup page; data/air-express-ga4-delivery-sync-attempt.json; data/owned-site-delivery-sync-check.json","Publish/sync the current package through the authenticated New Reward edge path or make an approved Cloudflare route change to the verified Vercel source.",authenticated edge publish/control path not available from this repo lane,DNS and worker outage risk,nameserver edge header health,2026-06-06
Cloudflare Turnstile,security,P0,code path present,access_unknown,James/New Reward,runbook and code files,verify widget and secret configured,no provider mutation approval,form abuse and lead spam,valid server-side token rate,2026-06-01
GitHub OAuth App,auth,P0,setup documented,access_unknown,James/New Reward,admin/OAUTH_SETUP.md and /api/auth error,confirm client ID and callback,no OAuth mutation approval,CMS auth failure,/api/auth 302,2026-06-01
Email DNS airexpresshvac.net,email,P0,MX SPF DMARC pass DKIM fail,partial_public_verified,Air Express mail owner,verify-email-auth,identify DKIM selector and source record,DNS/mail owner approval needed,mail trust,SPF DKIM DMARC pass,2026-06-01
Resend notifications,email,P0,optional vars documented,access_unknown,James/New Reward,launch runbook,verify sender domain and notification env vars,no provider mutation approval,lead notification deliverability,notification send success,2026-06-01
Google Business Profile,local_search,P0,review link resolves; New Reward setup card is NOT CONNECTED; local setup snapshot says GBP and GBP sync failed to load,platform_connection_blocked,james@jamesbrady.org app / newrewardplatform@gmail.com Google,site footer Google redirect; New Reward Air Express setup page; James identity clarification,use james@jamesbrady.org New Reward app session then connect or confirm newrewardplatform@gmail.com Google provider access,owner verification/provider credential gate,review policy and NAP drift,calls directions reviews,2026-06-02
Google Search Console,search,P0,"New Reward setup previously showed GSC not connected/local snapshot fallback; latest read-only configured DB lookup found the canonical Air Express client and primary website cmorqbs9j001r5nr1h25vosp8, plus GSC provider credential and connection for sc-domain:airexpressutah.com under newrewardplatform@gmail.com, both expired. Local token still lacks webmasters.readonly and live SEO workspace UI needs recheck.",provider_expired_scope_blocked,james@jamesbrady.org app / newrewardplatform@gmail.com Google,New Reward Air Express setup page; New Reward SEO workspace; live edge headers; James identity clarification; data/newreward-attribution-source-check.json; data/newreward-air-express-provider-readonly-recheck.json; data/google-history/history-pull-status.json; docs/new-reward-gsc-ga4-reconnect-runbook.md,"Use james@jamesbrady.org New Reward app session to verify provider card targets cmorqbs9j001r5nr1h25vosp8, then reconnect/refresh newrewardplatform@gmail.com read-only GSC access if no stop gate appears.",GSC provider credential and connection are expired; webmasters.readonly scope missing; SEO workspace UI recheck pending; provider mutation/OAuth consent requires explicit approval.,indexing visibility,coverage and queries,2026-06-03
GA4,measurement,P0,"New Reward setup previously showed GA4 not connected/local snapshot fallback; latest read-only configured DB lookup found canonical website cmorqbs9j001r5nr1h25vosp8 and GA4 provider credential/connection under newrewardplatform@gmail.com, both expired. GA4 connection propertyId is null. Local source contains G-JZ7PY32EVX but production /analytics.js is 404 and no live marker is detected.",provider_expired_scope_delivery_blocked,james@jamesbrady.org app / newrewardplatform@gmail.com Google,New Reward Air Express setup page; New Reward SEO workspace; New Reward PM GA4 task; repo-local analytics.js; live tag checks; data/newreward-air-express-provider-readonly-recheck.json; data/live-measurement-path-check.json; docs/new-reward-gsc-ga4-reconnect-runbook.md,"Verify the app targets cmorqbs9j001r5nr1h25vosp8, reconnect/refresh newrewardplatform@gmail.com GA4 read access, select the property/web stream containing G-JZ7PY32EVX, then run approved deploy or edge sync for /analytics.js.",GA4 provider credential and connection are expired; analytics.readonly scope missing; GA4 propertyId null; live tag deployment still unresolved.,conversion measurement,traffic and form events,2026-06-03
