brief_id,status,working_title,target_query,buyer_stage,recommended_slug,primary_intent,outline,internal_links,proof_required,publication_gate,attribution_plan
CB-001,ready_in_source,"First Hot Week in Utah: AC Checks to Do Before the Rush","Utah first hot week AC checklist",problem-aware,first-hot-week-ac-checklist-utah,"AC maintenance and repair triage","Filter check; outdoor unit clearance; thermostat schedule; airflow check; ice/water warning signs; when to call","/ac-maintenance.html; /ac-repair.html; /ac-tune-up.html; /service-area-lehi.html","No special owner proof beyond approved homeowner safety guidance; avoid diagnostic guarantees","Approved Air Express deploy or New Reward edge sync before public URL is claimed live","Canonical /blog/first-hot-week-ac-checklist-utah.html; UTM campaign air_express_summer_2026; review GSC query/page clicks, GA4 landing-page sessions, generate_lead events, and ServiceTitan campaign/source rows"
CB-002,review_draft,"Wildfire Smoke Days in Utah: How to Use Your HVAC System Wisely","Utah wildfire smoke HVAC filter",problem-aware,wildfire-smoke-hvac-filter-utah,"Indoor air quality and filtration education","Filter MERV guidance; exhaust/fresh-air caution; circulate mode; room HEPA; symptoms and service clues","/air-filters.html; /filtration.html; /indoor-air-quality.html; /air-purifiers.html","Product-neutral IAQ guidance; technician/static-pressure caveat; no health outcome claims","Max/New Reward content approval, then approved Air Express deploy or edge sync","Canonical /blog/wildfire-smoke-hvac-filter-utah.html; UTM content wildfire_smoke_hvac_filter; review GSC smoke/filter queries, GA4 landing sessions, CTA clicks, and lead notes"
CB-003,review_draft,"Thermostat Settings That Actually Help During a Utah Heat Wave","Utah heat wave thermostat settings",problem-aware,thermostat-settings-utah-heat-wave,"Energy efficiency and AC performance education","Smaller heat-wave setbacks; no temperature chasing; fans in occupied rooms; afternoon heat-gain control; filter/outdoor checks; service triggers","/thermostats.html; /energy-efficiency.html; /ac-inspection.html; /ac-replacement.html","Avoid universal setpoint or savings claims; keep guidance framed as practical homeowner checks","Max/New Reward content approval, then approved Air Express deploy or edge sync","Canonical /blog/thermostat-settings-utah-heat-wave.html; UTM content thermostat_heat_wave; review GSC thermostat/heat-wave queries, GA4 sessions, CTA clicks, and generate_lead events"
CB-004,brief_ready,"How to Tell If Your AC Is Undersized in Utah County","AC undersized Utah County",solution-aware,ac-undersized-utah-county,"AC replacement and diagnosis","Symptoms; maintenance issues that mimic undersizing; room-by-room load clues; duct/return checks; when replacement sizing needs Manual J","/ac-replacement.html; /ac-repair.html; /ac-installation.html; /service-areas.html","Technician checklist and approved examples; no customer PII; avoid claiming all comfort issues require replacement","Owner approval of diagnostic criteria before drafting","Canonical /blog/ac-undersized-utah-county.html; UTM content ac_undersized; review GSC replacement intent, GA4 engagement, and ServiceTitan replacement lead source"
CB-005,brief_ready,"Furnace Repair vs Replacement in Lehi","furnace repair vs replacement Lehi",solution-aware,furnace-repair-vs-replacement-lehi,"Heating repair and replacement decision support","Age and repair history; safety shutoff signs; comfort/efficiency symptoms; replacement triggers; maintenance plan role","/furnace-repair-lehi-ut.html; /furnace-installation.html; /heating-replacement.html; /maintenance-plan.html","Approved decision criteria; warranty/age caveats; no price or rebate claims without current proof","Owner approval before drafting; publish closer to heating season","Canonical /blog/furnace-repair-vs-replacement-lehi.html; UTM content furnace_repair_replace; review GSC heating queries, GA4 sessions, and ServiceTitan heating calls"
CB-006,brief_ready,"What an HVAC Tune-Up Includes Before a Saratoga Springs Summer","HVAC tune up Saratoga Springs summer",solution-aware,hvac-tune-up-saratoga-springs-summer,"Maintenance plan and AC tune-up education","Tune-up checklist; airflow/electrical/refrigerant checks; homeowner prep; what is not included; seasonal timing","/ac-tune-up.html; /maintenance-plan.html; /service-area-saratoga-springs.html; /ac-maintenance.html","Air Express tune-up checklist and approved exclusions","Max/Air Express approval of tune-up scope","Canonical /blog/hvac-tune-up-saratoga-springs-summer.html; UTM content tuneup_saratoga_springs; review local GSC queries, GA4 bookings/clicks, and ServiceTitan campaign rows"
CB-007,brief_ready,"Indoor Air Quality During Utah Inversions","Utah inversion indoor air quality HVAC",problem-aware,utah-inversion-indoor-air-quality-hvac,"IAQ and filtration education","What inversions mean indoors; filtration vs purification; humidity and ventilation; room purifier strategy; service inspection triggers","/indoor-air-quality.html; /air-purifiers.html; /air-filters.html; /humidification.html","Product-neutral guidance; no medical outcome claims; approved recommendations","Content owner approval and IAQ claim review","Canonical /blog/utah-inversion-indoor-air-quality-hvac.html; UTM content inversion_iaq; review GSC IAQ queries, GA4 page engagement, and IAQ lead notes"
CB-008,brief_ready,"Emergency HVAC Checklist Before Calling After Hours","emergency HVAC checklist Utah",action-ready,emergency-hvac-checklist-utah,"Emergency service triage and safety","Safety stop signs; breaker/thermostat/filter checks; what to tell dispatcher; what not to touch; next-day follow-up","/emergency.html; /schedule-service.html; /contact.html; /hvac-repair.html","Dispatch policy, after-hours boundaries, safety review","Owner approval of emergency/after-hours language","Canonical /blog/emergency-hvac-checklist-utah.html; UTM content emergency_checklist; review GSC emergency queries, GA4 click-to-call/form submits, and ServiceTitan emergency leads"
CB-009,brief_ready,"Why Some Rooms Stay Hot or Cold After a System Replacement","rooms hot after HVAC replacement Utah",solution-aware,rooms-hot-cold-after-hvac-replacement,"Ducting, balancing, and comfort troubleshooting","Duct sizing/leaks; returns; balancing; insulation and sun load; zoning; when to inspect","/ductwork.html; /air-duct-cleaning.html; /hvac-service.html; /energy-efficiency.html","Technician notes on airflow, balancing, duct leakage, and insulation caveats","Technical review before drafting","Canonical /blog/rooms-hot-cold-after-hvac-replacement.html; UTM content room_comfort; review GSC room comfort queries, GA4 engagement, and comfort-service leads"
CB-010,brief_ready,"Case Study: From No-Cool Call to Repaired Comfort","Air Express AC repair case study",decision-ready,case-study-no-cool-repair-utah,"Proof-led conversion content","Customer problem; city/service area; diagnosis; work completed; outcome; approved photo/testimonial status; source proof","/ac-repair.html; /emergency.html; /reviews.html; relevant service-area page","Max-approved story, photos, outcome, testimonial permission, and redacted ServiceTitan/source proof","Do not draft publishable case study until Max provides approved proof with no PII","Canonical /blog/case-study-no-cool-repair-utah.html; UTM content case_study_no_cool; join GA4 landing sessions with ServiceTitan lead source and approved proof status"
