surface,url,status,observedWebsite,observedPhoneStatus,claimStatus,owner,evidence,requestedAction,proofDate,reportableAsBacklink
Cylex,https://www.cylex.us.com/company/air-express-heating-and-air-conditioning-5877278.html,legacy_domain,https://www.airexpresshvac.net/,not_checked,unknown,New Reward / Air Express,Public listing shows Air Express in Lehi and links to https://www.airexpresshvac.net/.,Claim or update listing to canonical https://airexpressutah.com and verify NAP.,2026-06-05,not_until_canonicalized
ContractorsUp,https://www.contractorsup.com/87980,legacy_domain,https://www.airexpresshvac.net/,not_checked,unknown,New Reward / Air Express,Public listing shows airexpresshvac.net plus Facebook profile and a 4.0/5 review snapshot.,Update website to canonical domain and record whether profile is claimable.,2026-06-05,not_until_canonicalized
Bryant dealer locator,https://www.bryant.com/en/us/dealers/ut/lehi/628-e-state-st-bry-16112-loc,nap_review,not_checked,alternate_phone_observed,dealer_profile,Air Express / Bryant dealer channel,Public dealer profile uses Air Express name/address but displays a phone number that differs from the canonical site phone.,Confirm whether the number is an approved tracking/dealer number; update or document if not.,2026-06-05,review_required
Angi,https://www.angi.com/companylist/us/ut/lehi/air-express-heating-and-air-conditioning-inc-reviews-3641163.htm/,reputation_risk,not_checked,not_checked,unknown,Air Express,Public profile shows a low rating snapshot and long negative review content.,Prepare an owner-approved profile response/monitoring strategy and avoid stronger reputation claims until current proof is supplied.,2026-06-05,review_required
The Blue Book / ProView,https://www.thebluebook.com/iProView/1630726/air-express-heating-air-conditioning/subcontractors/,nap_review,not_checked,alternate_phone_observed,unknown,New Reward / Air Express,Public profile has business history and trade categories but shows alternate phone data.,Confirm phone/website details and add to citation cleanup ledger.,2026-06-05,review_required
City to City Market,https://citytocitymarket.com/air-express-heating-air-conditioning-lehi,claim_opportunity,not_checked,canonical_phone_observed,claimable,New Reward / Air Express,"Public listing is claimable and includes address, canonical phone, 1996 history, and license/bond language.",Verify claim status and proof before using license/bond wording in public claims.,2026-06-05,review_required
homeyou,https://www.homeyou.com/air-express-heating-air-conditioning-specialist-lehi-ut,nap_review,not_checked,masked_phone_observed,unknown,New Reward / Air Express,Public profile uses masked phone and unusual rating fields.,"Review for duplicate, stale, or malformed listing data.",2026-06-05,review_required
Utah construction directory,https://utah.construction-us.org/947699-air_express_heating_air_conditioning.htm,missing_website,unknown_or_missing,canonical_phone_observed,unknown,New Reward / Air Express,"Public listing shows Air Express name, address, phone, owner, and website unknown.","If claimable, add canonical website and verify category/NAP.",2026-06-05,not_until_canonicalized
HVAC USA / Nears,https://hvac-usa.nears.me/hvac-contractor/united-states/utah/lehi/air-express-heating-and-air-conditioning-lehi-ut/,nap_review,not_checked,alternate_phone_observed,unknown,New Reward / Air Express,Public profile shows a phone number and hours that differ from canonical site evidence.,Confirm whether data is autogenerated and whether profile can be corrected.,2026-06-05,review_required
PacifiCorp / Utah efficiency trade ally documents,https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/environment/dsm/utah/UT_Energy_Efficiency_and_Peak_Reduction_Report_Appendices.pdf,authority_opportunity,not_applicable,not_applicable,dated_public_source,New Reward / Air Express,Public utility/regulatory appendices mention Air Express Heating and Air Conditioning Inc in Lehi.,Use only as dated authority context after verifying current program participation and client approval.,2026-06-05,proof_gated
