issue,criterion_id,acceptance_criterion,state,evidence,remaining_blocker,next_action,closure_ready
#24,AC1,Child issues are completed or explicitly blocked with exact evidence,parent_incomplete,data/issue-24-30-completion-audit.csv and pages/issue-24-30-blocker-report.html record #25 complete and #26-#30 still open with exact blockers,Child issues #26-#30 remain open,Resolve #26 through #30 or record final external blockers before closing parent,false
#24,AC2,GSC and GA4 pulls succeed or leave a narrowed provider-specific blocker,blocked_scope_with_saved_snapshots,data/google-history/history-pull-status.json records direct GSC blocked_scope and direct GA4 blocked_scope for newrewardplatform@gmail.com; data/google-history/newreward-snapshot-history.json records saved New Reward GSC snapshot history and AI visibility history,Missing local webmasters.readonly and analytics.readonly scopes; GSC provider is revoked/error; GA4 provider evidence is expired/EXPIRED and propertyId is null,"Repair #26 GSC/provider state and GA4 property selection, then run the Google read-only reconnect packet for #27",false
#24,AC3,GBP performance data is pulled or blocked with exact access/location evidence,blocked_scope,data/google-history/history-pull-status.json records GBP blocked_scope and missing business.manage,Business Profile API scope and Air Express location visibility are not proven,After #26 mapping run approved read-only GBP reconnect and rerun history pull,false
#24,AC4,The live site exposes exactly one approved GA4 or GTM source,fixed_locally_pending_live,data/live-measurement-path-check.json records local source ready but live homepage has no GA4/GTM marker and live analytics.js is 404; data/owned-site-delivery-sync-check.json records pending_delivery_sync for homepage and analytics_js,"Approved deploy, New Reward edge sync, or approved manual artifact sync is required",Approve delivery path then rerun npm run verify:owned-site-delivery-sync and npm run verify:live-measurement,false
#24,AC5,ServiceTitan or accepted lead proof is joined without private customer data,partial_api_history_pulled_revenue_blocked,pages/new-reward-impact-report.html includes Lead Proof Status with ServiceTitan api_history_pulled evidence: 78 redacted lead rows from 2026-01-01 through 2026-06-05 and 76 configured website campaign rows; customer PII raw payloads notes lead URLs credential values and tokens are excluded,Booking and revenue joins are still missing; direct Google/GA4/GBP history and live GA4 delivery remain blocked in child issues,Use lead counts for trend comparison only; pull an approved booking/revenue endpoint or export before making ROI claims,false
#24,AC6,Impact and SEO/GEO reports reflect the latest verified state,completed_verified,pages/new-reward-impact-report.html and pages/seo-geo-attribution-report.html were regenerated with current blocked scope source live tag ServiceTitan and public-claim states; data/public-claim-register.json records zero forbidden BBB accreditation occurrences,None for report freshness in this local pass,Keep regenerating after each provider delivery or trust-claim state change,true
#25,AC1,NewRewards resolver patch is reviewed in the correct repo and branch,completed_verified,h3ro-dev/NewRewards PR #3834 is merged and direct PR verification records green checks,None,No resolver action remains,true
#25,AC2,Deployment or environment application is approved and recorded before production mutation,completed_verified,PR #3834 merge commit c83c2f0e859b8165fa1d191f6ed7d0d53ceda75f and Vercel Production deployment success are recorded,None,No resolver action remains,true
#25,AC3,After patch is live Air Express setup/status is rechecked for provider visibility,completed_verified,npm run verify:newreward-mapping and npm run pull:gsc-ga4-history were rerun after deploy,Remaining blockers moved to #26 and #27,Continue #26 and #27 lanes,true
#25,AC4,If provider credentials are still missing the issue records the exact remaining blocker class,completed_verified,Issue #25 closeout and data/issue-24-30-completion-audit.csv record source mapping and OAuth scope blockers,None for #25,Keep #25 closed and track follow-up in #26 through #29,true
