id,entity_type,brand,confidence,category,canonical_domain,public_url,service_area_focus,service_lines,authority_signals,observed_entity_issue_or_gap,evidence_state,source_url,source_date,next_action,proof_gate
air-express-canonical,client_entity,"Air Express Heating and Air Conditioning",verified_client,"owned HVAC brand",airexpressutah.com,https://airexpressutah.com,"Lehi; Utah County; Salt Lake County","AC repair; AC replacement; furnace repair; heat pumps; IAQ; maintenance; emergency HVAC","Owned site, local service pages, prepared blog/source assets, saved New Reward GSC and AI snapshots","Canonical owned site exists, but live delivery/analytics and provider joins are still blocked or partial",verified_local_and_public,https://airexpressutah.com,2026-06-04,"Use as canonical client domain; reconcile older domains, listings, and One Hour relationship before stronger claims","Do not claim live SEO/GEO/revenue lift beyond saved snapshot evidence until GSC/GA4/GBP/ServiceTitan joins are restored"
air-express-old-domain,legacy_surface,"Air Express older domain",inferred_legacy,"legacy domain / redirect surface",airexpresshvac.net,https://airexpresshvac.net,"Utah County / historical","HVAC services","Distribution ledger previously observed redirect continuity","Old or indexed legacy-domain surfaces can fragment entity signals if not consistently redirected/canonicalized",prepared_monitor,https://airexpresshvac.net,2026-06-04,"Monitor redirect/canonical behavior weekly and preserve old-domain cleanup in citation issue #34","Do not assume all old URLs are fixed until crawled and verified"
one-hour-lehi,related_or_confusing_entity,"One Hour Heating and Air Conditioning of Lehi",high_confidence_overlap,"possible related brand / entity-confusion surface",onehourheatandair.com,https://www.onehourheatandair.com/lehi/,"Lehi; Utah County","AC; heating; emergency HVAC; maintenance","Public search and sub-agent research found One Hour / Air Express overlap signals","Potential Air Express/One Hour overlap can dilute brand/entity trust if relationship language is unclear",needs_owner_verification,https://www.onehourheatandair.com/lehi/,2026-06-04,"Ask Max/New Reward to confirm current Air Express and One Hour relationship, approved wording, and listing ownership","Do not present One Hour as competitor or partner until owner confirms relationship"
bbb-air-express,trust_surface,"Air Express BBB profile",high_risk_claim_gate,"trust / review listing",bbb.org,https://www.bbb.org/,"Lehi / Utah","HVAC contractor trust surface","Prior research found BBB profile conflict with local public-claim language","BBB accreditation/rating must be verified live before any public claim or schema reuse",needs_live_profile_verification,https://www.bbb.org/,2026-06-04,"Recheck the current BBB profile before publishing BBB language or trust schema","Do not claim BBB accreditation unless the current BBB profile proves accreditation"
yes-absolute-air,competitor,"YES! / Absolute Air",high_confidence_competitor,"large local HVAC / home services competitor",yesutah.com,https://yesutah.com,"Utah County; Salt Lake County; broader Utah","HVAC; plumbing; electrical; drains; home services","Large local home-services footprint and service-area coverage","Competitor baseline needs source-of-truth URL, local-pack rank, review count, and AI-answer share",public_baseline_seeded,https://yesutah.com,2026-06-04,"Add geolocated local-pack rank and AI citation results for Lehi, Saratoga Springs, Eagle Mountain, Orem, Draper, and Sandy","Do not use as rank proof until local-pack screenshots or API evidence exist"
any-hour-services,competitor,"Any Hour Services",high_confidence_competitor,"large local HVAC / home services competitor",anyhourservices.com,https://anyhourservices.com,"Utah County; Salt Lake County; Wasatch Front","HVAC; plumbing; electrical; drains","Large regional brand with broad service-line authority","Competitor baseline needs verified city/service pages, review count, and prompt-level answer share",public_baseline_seeded,https://anyhourservices.com,2026-06-04,"Track service pages, local-pack presence, review source, and AI citations weekly","Do not use as rank proof until geolocated evidence exists"
north-star-heating-air,competitor,"North Star Heating and Air Conditioning",high_confidence_competitor,"HVAC competitor",northstarheatingandairutah.com,https://northstarheatingandairutah.com,"Utah County / Lehi area","AC; heating; maintenance; indoor air quality","Public HVAC competitor surfaced in Lehi/Utah County research","Needs verified local page and AI prompt comparison baseline",public_baseline_seeded,https://northstarheatingandairutah.com,2026-06-04,"Track branded/service prompts and local-pack presence","Do not use as rank proof until geolocated evidence exists"
western-heating-air,competitor,"Western Heating, Air and Plumbing",high_confidence_competitor,"large HVAC / plumbing competitor",westernheatingair.com,https://westernheatingair.com,"Utah County; Salt Lake County; Wasatch Front","HVAC; plumbing; maintenance; IAQ","Longstanding Utah home-services brand with city/service coverage","Needs local-pack, citation, review, and prompt-answer baseline against Air Express",public_baseline_seeded,https://westernheatingair.com,2026-06-04,"Track city pages, authority content, and AI-answer share","Do not use as rank proof until geolocated evidence exists"
whipple-service-champions,competitor,"Whipple Service Champions",high_confidence_competitor,"large home-services competitor",whippleplumbing.com,https://www.whippleplumbing.com,"Salt Lake County; Utah County; Wasatch Front","HVAC; plumbing; electrical; drains","Large multi-service footprint and authority content","Needs verified HVAC-specific city/service overlap and AI-answer share",public_baseline_seeded,https://www.whippleplumbing.com,2026-06-04,"Track HVAC pages, review source, local-pack rank, and answer-engine citation share","Do not use as rank proof until geolocated evidence exists"
lees-heating-air,competitor,"Lee's Heating and Air",high_confidence_competitor,"HVAC competitor",leesheatac.com,https://www.leesheatac.com,"Utah County; Salt Lake County","AC; heating; maintenance; replacements","Public HVAC competitor surfaced in regional research","Needs local-pack, review, city-page, and AI-answer baseline",public_baseline_seeded,https://www.leesheatac.com,2026-06-04,"Track prompt share and city/service overlap","Do not use as rank proof until geolocated evidence exists"
