query,snapshots,mentions,citations,mention_rate,citation_rate,first_seen,last_seen
"How do I compare cooling providers on family owned and locally rooted 1996 in Lehi, UT?",73,4,3,0.0547945205479452,0.0410958904109589,2026-05-25T08:05:46.188,2026-06-01T16:54:44.345
"How can I compare cooling providers in Lehi, UT?",58,1,1,0.017241379310344827,0.017241379310344827,2026-05-29T20:37:49.161,2026-06-01T16:55:30.66
"Who are trusted cooling providers for furnace failure in Lehi, UT?",24,1,1,0.041666666666666664,0.041666666666666664,2026-05-25T08:03:17.474,2026-05-25T20:40:06.73
"How do I compare cooling providers for poor indoor air quality in Lehi, UT?",11,1,1,0.09090909090909091,0.09090909090909091,2026-05-25T08:07:51.451,2026-05-25T19:54:58.112
"How can I verify a cooling provider is qualified and reputable in Lehi, UT?",55,1,0,0.01818181818181818,0,2026-05-29T20:34:23.101,2026-06-01T16:50:45.896
"How can I compare heating and cooling providers in Lehi, UT?",25,1,0,0.04,0,2026-05-07T04:32:26.07,2026-05-07T20:01:48.051
"Why does one room stay hot in Lehi, UT?",5,1,0,0.2,0,2026-05-07T07:44:31.364,2026-05-07T07:45:29.841
"How do I compare HVAC repair versus full replacement in Lehi, UT?",5,1,0,0.2,0,2026-05-07T07:48:11.168,2026-05-07T07:48:33.604
"Why is my HVAC so noisy at night in Lehi, UT?",5,1,0,0.2,0,2026-05-07T04:31:00.485,2026-05-07T04:31:30.737
"What proof should I ask for before hiring a cooling provider for emergency repair stress with young children or elderly in Lehi, UT?",5,1,0,0.2,0,2026-04-29T22:25:33.945,2026-04-29T22:25:54.524
"Why does my house feel humid even with the AC on in Lehi, UT?",5,1,0,0.2,0,2026-05-07T04:29:37.292,2026-05-07T04:30:21.391
"Who are trusted way to find an HVAC companies in Lehi, UT?",5,1,0,0.2,0,2026-05-07T07:50:11.06,2026-05-07T07:51:01.39
