source_date,email_ts,message_id,thread_id,subject,evidence_class,sanitized_finding,blocker_impact,next_action,secrets_excluded
2026-04-17,2026-04-17T20:09:06Z,19d9d0fbc5316420,19d9d0fbc5316420,Recap for Daily Check In,gmail_readonly_sanitized,"Meeting recap says the New Reward Google provider account had been added for Google integrations, but Search Console showed a connected/internal-service-error state while the expected primary site did not appear. Air Express lead routing and domain forwarding were also discussed.","Supports New Reward source-of-truth or provider-property mapping drift. Does not provide a usable GSC/GA4 API token, property id, or GTM container id.","Use the james@jamesbrady.org New Reward app session, reconcile Air Express website ids, then connect or verify newrewardplatform@gmail.com from the provider flow.",true
2026-04-22,2026-04-22T18:01:37Z,19db65ad7da6a0f6,19db65ad7da6a0f6,Recap for New Reward Notion/Bug setup for Debugging,gmail_readonly_sanitized,"Meeting recap records action items to create an accounts status list for GA4/GSC/GBP/Cloudflare, investigate Google account disconnections and possible tenant credential overwrite, and prioritize the Air Express DNS/email issue. No Air Express GTM container id or usable provider token is provided.","Supports systemic source-of-truth and credential-status drift for #26/#27. It does not prove current Air Express provider rows, Google property visibility, or GTM ownership.",Use as root-cause evidence; keep #26/#27 open until production source mapping and scoped Google read access are directly verified.,true
2026-04-24,2026-04-24T17:37:42Z,outlook:ga4-tag-source,outlook:ga4-tag-source,Fwd: google ana,outlook_search_sanitized,"Outlook search found an Air Express Google Analytics thread with the direct Google tag loader for GA4 measurement id G-JZ7PY32EVX. The evidence references gtag and googletagmanager.com gtag loader, not a GTM container.","Confirms the approved local GA4 implementation id and supports direct GA4 as the verified source path. It does not provide a GTM container id, GA4 API scope, property id, or live delivery proof.",Keep direct GA4 in local homepage source; do not add GTM unless a verified Air Express GTM container id is provided.,true
2026-04-24,2026-04-24T20:28:13Z,19dc12dbdb55f83d,19dc12d7241237c1,Air Express ServiceTitan leads are being created; where to find them,gmail_readonly_sanitized,"Message verifies two live Air Express website leads in ServiceTitan Follow Up -> Leads on 2026-04-24: lead 84856340 and lead 84856596, both open under campaign 80365413.","Provides partial prior lead proof for #30, but not full historical export, booking, or revenue attribution.",Obtain a redacted read-only ServiceTitan export or screenshot packet by date/source/campaign/status with customer PII removed.,true
2026-04-27,2026-04-27T19:44:51Z,outlook:ga4-tag-reply,outlook:ga4-tag-reply,Re: google ana,outlook_search_sanitized,Outlook search found a follow-up reply in the same Air Express Google Analytics thread with GA4 measurement id G-JZ7PY32EVX and direct gtag loader evidence. No Air Express GTM container id was present in the result.,Further corroborates the GA4 id as owner-provided implementation evidence while keeping GTM unverified.,Use this as GA4 source evidence for #28; live proof still requires approved deploy or New Reward edge sync.,true
2026-04-29,2026-04-29T20:19:19Z,19ddae56275e6b1c,19ddae56275e6b1c,Air Express website update: socials and lead email notifications,gmail_readonly_sanitized,"Message says the Air Express footer socials were cleaned up to Facebook and Google Business Profile, the ServiceTitan lead email notification fallback was added, production lead notifications were configured for the business mailbox, and post-deploy production checks passed. It also says the remaining optional confirmation was a live test form submission that would create a real ServiceTitan test lead.","Supports that the local-service lead workflow had an email-notification fallback and production check history, but it is not a full ServiceTitan lead export and does not prove current notification env state.","Use as historical setup evidence only; current proof still requires read-only ServiceTitan export/API access or redacted screenshot packet, and any live form test needs explicit approval.",true
2026-04-29,2026-04-29T17:22:27Z,19dda4374e48b091,19dda4374e48b091,Signed contract client activation issue,gmail_readonly_sanitized,Message records Air Express as the clearest example of a signed-contract client that stayed marked as prospect because CRM activation depended on the Stripe checkout/subscription path.,"Supports #26 mapping/root-cause evidence that Air Express client state drifted across New Reward contract, CRM, and active-client surfaces.","Verify the production source-of-truth maps the signed Air Express CRM client to the active client, SEO workspace, and live edge website id.",true
2026-05-01,2026-05-01T13:31:46Z,19de3bcff4b3ba9d,19de3bcff4b3ba9d,Someone mentioned you in Investigate Air Express report that website leads are missing from ServiceTitan,gmail_readonly_sanitized,"Notion notifications in this thread record an Air Express PM/work-log task titled Investigate Air Express report that website leads are missing from ServiceTitan, with owner/completion references for James. The notifications do not contain a full export, current access material, booking status, revenue data, or customer details.","Supports that ServiceTitan lead visibility was tracked as an operational issue after the April 24 lead proof, but it does not replace the need for a current redacted export/history packet.",Keep #30 open until full lead history by date/source/campaign/status is available without customer PII.,true
2026-05-05,2026-05-05T15:45:11Z,outlook:technical-package-link-broken,outlook:technical-package-link-broken,Fw: Your Technical Infrastructure Package is Ready - Air Express Heating and Air Conditioning,outlook_search_sanitized,Outlook search found an Air Express technical infrastructure package thread where the package button or link was reported as not working.,Supports the public-artifact/readiness blocker: Air Express package delivery could not be treated as client-ready from this evidence.,Do not call Air Express public artifacts ready until the report/review link works and the production artifact path is verified.,true
2026-05-07,2026-05-07T21:12:11Z,19e0448ac4747b59,19e0448ac4747b59,Recap for Training - Jeremy and Payton,gmail_readonly_sanitized,"Training recap uses Air Express as the example client and records Google Search Console, Google Analytics, and Google Business Profile as not connected in the demo. It also records action items to triage a GA4 expired-credential display and verify that the platform is pulling the correct website information. No Air Express GTM container id is provided.","Supports #26/#27/#29: Air Express attribution blockers are consistent with platform credential/status and website-information drift, not proof that Google assets are absent.","Use as root-cause evidence; reconcile website mapping first, then run the prepared read-only Google reconnect and history pull flow.",true
